AX,AY,AZ,GX,GY,GZ
0.038851,-0.070054,-0.037842,-0.105286,0.254822,-1.063538
0.070829,-0.016099,-0.053816,-0.102234,0.244141,-1.065063
0.047617,-0.024155,0.010639,-0.102234,0.22583,-1.037598
0.034439,-0.012192,0.043805,-0.079346,0.219727,-1.054382
0.046066,-0.025132,-0.007193,-0.108337,0.216675,-1.072693
0.056288,-0.005112,-0.047689,-0.09613,0.221252,-1.057434
0.044794,0.003677,-0.037413,-0.073242,0.212097,-1.0849
0.035694,-0.069321,-0.030272,-0.088501,0.210571,-1.05896
0.036745,0.049331,-0.032321,-0.062561,0.198364,-1.071167
0.059128,0.012954,0.029912,-0.079346,0.224304,-1.063538
0.043281,0.034683,0.077177,-0.094604,0.209045,-1.069641
0.026485,-0.013901,0.02525,-0.061035,0.196838,-1.0849
0.061483,0.017593,-0.011854,-0.048828,0.198364,-1.104736
0.054165,0.001479,0.003033,-0.062561,0.210571,-1.068115
0.051203,-0.044419,-0.00145,-0.068665,0.218201,-1.066589
0.036083,-0.006577,0.02037,-0.090027,0.234985,-1.054382
0.039119,-0.021958,-0.026918,-0.108337,0.236511,-1.063538
0.053257,0.000991,0.071503,-0.093079,0.25177,-1.045227
0.027022,-0.035874,0.047098,-0.106812,0.230408,-1.046753
0.040547,0.002212,0.008325,-0.090027,0.219727,-1.068115
0.049089,0.025405,-0.029747,-0.099182,0.231934,-1.063538
0.063901,-0.076401,-0.026372,-0.090027,0.242615,-1.057434
0.005731,-0.048813,-0.016639,-0.099182,0.222778,-1.078796
0.059368,-0.013169,-0.021107,-0.100708,0.210571,-1.080322
0.036616,-0.031724,-0.012065,-0.083923,0.212097,-1.065063
0.044769,-0.034653,0.029677,-0.074768,0.224304,-1.066589
0.056588,0.000747,0.023755,-0.064087,0.218201,-1.065063
0.03933,-0.009019,0.00962,-0.080872,0.20752,-1.080322
0.081892,-0.018052,0.034221,-0.080872,0.221252,-1.080322
-0.004009,0.031997,0.144645,-0.073242,0.196838,-1.080322
0.041878,0.021743,0.049594,-0.068665,0.190735,-1.074219
0.053842,-0.063706,-0.058449,-0.047302,0.20752,-1.091003
0.048153,-0.007065,0.05153,-0.048828,0.231934,-1.049805
0.037561,0.003188,-0.022861,-0.07019,0.230408,-1.048279
0.094405,0.006851,-0.01958,-0.102234,0.228882,-1.031494
0.051199,0.012954,-0.000027,-0.094604,0.230408,-1.040649
0.048677,0.017104,0.023364,-0.086975,0.228882,-1.034546
0.068185,0.031753,0.02365,-0.094604,0.248718,-1.063538
0.086455,0.042007,-0.002895,-0.109863,0.221252,-1.042175
0.05913,-0.068345,-0.008175,-0.111389,0.244141,-1.049805
0.094111,-0.038071,-0.01912,-0.10376,0.238037,-1.037598
0.039944,-0.036851,-0.002684,-0.09613,0.224304,-1.037598
0.085284,-0.004868,0.015142,-0.09613,0.222778,-1.048279
0.218396,0.015151,0.003281,-0.083923,0.213623,-1.042175
3.976905,2.044204,-0.005375,-0.062561,0.205994,-1.051331
4.48427,4.149428,-0.535218,-0.067139,0.186157,-1.083374
2.428087,1.361099,1.534177,-0.028992,0.215149,-1.078796
0.438705,0.221938,0.12408,-0.082397,0.154114,-1.036072
-0.21642,-1.382065,-0.752805,-0.07782,0.1297,-1.016235
-0.63513,-0.622544,0.174002,-0.080872,0.126648,-0.999451
-0.709474,-1.102036,-0.537043,-0.083923,0.135803,-1.016235
-0.414599,-1.17894,-0.49375,-0.079346,0.140381,-1.011658
-0.547362,-0.884263,-0.301335,-0.083923,0.138855,-1.019287
-0.415663,-0.979966,0.185312,-0.073242,0.135803,-1.00708
-0.218286,-0.7556,0.13393,-0.079346,0.161743,-1.048279
-0.076027,-0.650132,0.05692,-0.079346,0.157166,-1.020813
0.160081,-0.466782,0.077048,-0.073242,0.160217,-1.00708
0.310636,-0.380356,-0.189373,-0.080872,0.144958,-1.011658
0.531957,-0.325425,-0.370165,-0.09613,0.157166,-1.013184
0.683785,-0.099839,-0.253086,-0.100708,0.167847,-1.00708
0.567111,0.073745,-0.141335,-0.106812,0.167847,-1.000977
0.387983,0.132095,0.004877,-0.141907,0.164795,-1.004028
0.183475,0.050796,0.136688,-0.1297,0.177002,-0.996399
0.060797,0.09352,0.069842,-0.114441,0.189209,-0.996399
0.056152,0.165786,0.050163,-0.125122,0.193787,-1.00708
-0.046448,0.141372,0.102633,-0.138855,0.204468,-1.019287
-0.07573,0.213394,0.260242,-0.132751,0.180054,-0.98114
-0.102835,0.296157,0.287231,-0.115967,0.186157,-1.002502
0.347464,0.506851,0.22604,-0.143433,0.190735,-0.991821
0.692856,0.945815,0.032535,-0.149536,0.193787,-1.002502
0.303964,0.253677,0.320802,-0.143433,0.192261,-0.991821
0.003632,0.293472,0.116491,-0.134277,0.212097,-1.010132
-0.342048,-0.16478,-0.233255,-0.134277,0.184631,-0.999451
-0.537486,-0.194321,-0.113398,-0.143433,0.190735,-0.997925
-0.396651,-0.294175,-0.040911,-0.137329,0.193787,-0.990295
-0.366579,-0.208237,0.008486,-0.146484,0.19989,-0.990295
-0.086867,-0.165513,-0.00027,-0.134277,0.205994,-0.997925
-0.043559,-0.1577,0.139846,-0.146484,0.190735,-0.987244
0.074827,-0.178208,0.067146,-0.15564,0.183105,-0.982666
0.175488,-0.147935,-0.053799,-0.149536,0.18158,-1.000977
0.372813,-0.09105,-0.174783,-0.140381,0.180054,-0.997925
0.457899,-0.137925,-0.238961,-0.152588,0.167847,-0.985718
0.596102,-0.137437,-0.169451,-0.167847,0.177002,-0.997925
0.273888,-0.168931,-0.323744,-0.158691,0.175476,-1.010132
0.088072,-0.068833,-0.182064,-0.178528,0.184631,-0.997925
0.017692,-0.032212,0.081945,-0.169373,0.161743,-1.031494
-0.106458,-0.061265,0.036442,-0.157166,0.167847,-1.004028
-0.197256,-0.076157,0.034398,-0.17395,0.160217,-1.005554
-0.259044,0.028823,0.126157,-0.163269,0.167847,-0.997925
-0.441526,-0.064194,0.01346,-0.158691,0.183105,-1.017761
-0.333246,0.038345,0.060484,-0.15564,0.195312,-1.014709
-0.198831,0.104263,0.139363,-0.166321,0.186157,-1.010132
0.111752,0.03981,0.215622,-0.164795,0.189209,-0.999451
